Sl no,Name,Profile ID,Date,Comment
1,scotty2jatty,398274122,22/04/24 05:27:52,You better do @jakepaul dirty ðŸ˜‚
2,angelasanders975,65963290409,22/04/24 17:43:49,That's soooooooooo right
3,myleslewis_24,11687291106,22/04/24 17:49:54,bro i want that shirt
4,miladheydarpour1369,7529960718,22/04/24 18:44:02,ðŸŒ¹
5,matthew_williams224,25240207448,22/04/24 18:53:42,@michael_galt_1984 bro he only needs 1% to beat Jakeâ€™s ass
6,dunnett.kay,1131369548,22/04/24 19:09:45,ðŸ˜‚ðŸ˜‚ðŸ˜‚ ðŸ‘Œ
7,vremyatherapper,3178599909,22/04/24 19:21:58,$ on Mike ! ðŸ”¥ðŸ”¥ðŸ”¥ TKO
8,pkkw777,6329500566,22/04/24 19:27:03,The T-shirt though ðŸ˜³
9,schnopp77,5894239800,22/04/24 19:27:32,"Yeah boy, Tysonâ€™s gonna get shit done. The GOAT"
10,kryztaf0,49921246899,22/04/24 19:40:16,Please win mike
11,lujackson_0,905460692,22/04/24 19:56:57,I want this T-SHIRT!!!!
12,iiithomaspeterson,6998861755,22/04/24 19:58:02,Love that shirt
13,dope_omoakin1,1045751006,22/04/24 20:19:42,ðŸ˜‚ðŸ˜‚
14,wizard.066,65933700990,22/04/24 20:30:59,ðŸ”¥ðŸ™Œ
15,algernonveritas,211378962,22/04/24 21:17:56,@jakepaul I can't wait to see it!!ðŸ¥ŠðŸ¥ŠðŸ¥Š
16,timothyedward45,65829355741,22/04/24 21:28:24,"My BROTHA MICHAEL.  He was a heck of an inspiration.  Now, everybody is a student. Everybody is a teacher.  I learn from you, you learn from me.  You never stop learning.  You have to keep your mind strong.  Let's say, you become a couch potato.  You don't realize it, but your mind follows you.  So you create this world you visit on occasion.  You go to visit one day, but you don't come back.  Your mind is too weak and now we have to care for you.  The rest of your life. There's only a thin thread separating genius from sanity .  I read Quincy's autobiography.  His mother was so smart.  She knew give languages, 99 word per minute on that manual typewriter. She knew two forms of shorthand.  One day they were on the living room.  They here the window upstairs crash.  Once they get there they see their staring out the window.  His dad says, I knew one day this would happen.  GREAT BOOK.  It can hit home and give you understanding of one.  He's really endured so much.  You have to promise me you'll read itâ¤ï¸â¤ï¸â¤ï¸STAY PRAYIN STAY BLESSED"
17,xyx,8587643,22/04/24 21:28:25,https://CornyNanoScale.swiruty.repl.co
18,kevsonsw,246880306,22/04/24 21:30:23,@jakepaul you do have a money plan : get punched in the mouth for a few millions
19,canudropit2,3090577908,22/04/24 21:33:58,"Finish him, fatality style"
