word,sentiment
"a55,",negative
"a55hole,",negative
"aeolus,",negative
"ahole,",negative
"anal,",negative
"analprobe,",negative
"anilingus,",negative
"anus,",negative
"areola,",negative
"areole,",negative
"arian,",negative
"aryan,",negative
"ass,",negative
"assbang,",negative
"assbanged,",negative
"assbangs,",negative
"asses,",negative
"assfuck,",negative
"assfucker,",negative
"assh0le,",negative
"asshat,",negative
"assho1e,",negative
"ass hole,",negative
"assholes,",negative
"assmaster,",negative
"assmunch,",negative
"asswipe,",negative
"asswipes,",negative
"azazel,",negative
"azz,",negative
"b1tch,",negative
"babe,",negative
"babes,",negative
"ballsack,",negative
"bang,",negative
"banger,",negative
"barf,",negative
"bastard,",negative
"bastards,",negative
"bawdy,",negative
"beaner,",negative
"beardedclam,",negative
"beastiality,",negative
"beatch,",negative
"beater,",negative
"beaver,",negative
"beer,",negative
"beeyotch,",negative
"beotch,",negative
"biatch,",negative
"bigtits,",negative
"big tits,",negative
"bimbo,",negative
"bitch,",negative
"bitched,",negative
"bitches,",negative
"bitchy,",negative
"blow job,",negative
"blow,",negative
"blowjob,",negative
"blowjobs,",negative
"bod,",negative
"bodily,",negative
"boink,",negative
"bollock,",negative
"bollocks,",negative
"bollok,",negative
"bone,",negative
"boned,",negative
"boner,",negative
"boners,",negative
"bong,",negative
"boob,",negative
"boobies,",negative
"boobs,",negative
"booby,",negative
"booger,",negative
"bookie,",negative
"bootee,",negative
"bootie,",negative
"booty,",negative
"booze,",negative
"boozer,",negative
"boozy,",negative
"bosom,",negative
"bosomy,",negative
"bowel,",negative
"bowels,",negative
"bra,",negative
"brassiere,",negative
"breast,",negative
"breasts,",negative
"bugger,",negative
"bukkake,",negative
"bullshit,",negative
"bull shit,",negative
"bullshits,",negative
"bullshitted,",negative
"bullturds,",negative
"bung,",negative
"busty,",negative
"butt,",negative
"butt fuck,",negative
"buttfuck,",negative
"buttfucker,",negative
"buttfucker,",negative
"buttplug,",negative
"c.0.c.k,",negative
"c.o.c.k.,",negative
"c.u.n.t,",negative
"c0ck,",negative
"c-0-c-k,",negative
"caca,",negative
"cahone,",negative
"cameltoe,",negative
"carpetmuncher,",negative
"cawk,",negative
"cervix,",negative
"chinc,",negative
"chincs,",negative
"chink,",negative
"chink,",negative
"chode,",negative
"chodes,",negative
"cl1t,",negative
"climax,",negative
"clit,",negative
"clitoris,",negative
"clitorus,",negative
"clits,",negative
"clitty,",negative
"cocain,",negative
"cocaine,",negative
"cock,",negative
"c-o-c-k,",negative
"cockblock,",negative
"cockholster,",negative
"cockknocker,",negative
"cocks,",negative
"cocksmoker,",negative
"cocksucker,",negative
"cock sucker,",negative
"coital,",negative
"commie,",negative
"condom,",negative
"coon,",negative
"coons,",negative
"corksucker,",negative
"crabs,",negative
"crack,",negative
"cracker,",negative
"crackwhore,",negative
"crap,",negative
"crappy,",negative
"cum,",negative
"cummin,",negative
"cumming,",negative
"cumshot,",negative
"cumshots,",negative
"cumslut,",negative
"cumstain,",negative
"cunilingus,",negative
"cunnilingus,",negative
"cunny,",negative
"cunt,",negative
"cunt,",negative
"c-u-n-t,",negative
"cuntface,",negative
"cunthunter,",negative
"cuntlick,",negative
"cuntlicker,",negative
"cunts,",negative
"d0ng,",negative
"d0uch3,",negative
"d0uche,",negative
"d1ck,",negative
"d1ld0,",negative
"d1ldo,",negative
"dago,",negative
"dagos,",negative
"dammit,",negative
"damn,",negative
"damned,",negative
"damnit,",negative
"dawgie-style,",negative
"dick,",negative
"dickbag,",negative
"dickdipper,",negative
"dickface,",negative
"dickflipper,",negative
"dickhead,",negative
"dickheads,",negative
"dickish,",negative
"dick-ish,",negative
"dickripper,",negative
"dicksipper,",negative
"dickweed,",negative
"dickwhipper,",negative
"dickzipper,",negative
"diddle,",negative
"dike,",negative
"dildo,",negative
"dildos,",negative
"diligaf,",negative
"dillweed,",negative
"dimwit,",negative
"dingle,",negative
"dipship,",negative
"doggie-style,",negative
"doggy-style,",negative
"dong,",negative
"doofus,",negative
"doosh,",negative
"dopey,",negative
"douch3,",negative
"douche,",negative
"douchebag,",negative
"douchebags,",negative
"douchey,",negative
"drunk,",negative
"dumass,",negative
"dumbass,",negative
"dumbasses,",negative
"dummy,",negative
"dyke,",negative
"dykes,",negative
"ejaculate,",negative
"enlargement,",negative
"erect,",negative
"erection,",negative
"erotic,",negative
"essohbee,",negative
"extacy,",negative
"extasy,",negative
"f.u.c.k,",negative
"fack,",negative
"fag,",negative
"fagg,",negative
"fagged,",negative
"faggit,",negative
"faggot,",negative
"fagot,",negative
"fags,",negative
"faig,",negative
"faigt,",negative
"fannybandit,",negative
"fart,",negative
"fartknocker,",negative
"fat,",negative
"felch,",negative
"felcher,",negative
"felching,",negative
"fellate,",negative
"fellatio,",negative
"feltch,",negative
"feltcher,",negative
"fisted,",negative
"fisting,",negative
"fisty,",negative
"floozy,",negative
"foad,",negative
"fondle,",negative
"foobar,",negative
"foreskin,",negative
"freex,",negative
"frigg,",negative
"frigga,",negative
"fubar,",negative
"fuck,",negative
"f-u-c-k,",negative
"fuckass,",negative
"fucked,",negative
"fucked,",negative
"fucker,",negative
"fuckface,",negative
"fuckin,",negative
"fucking,",negative
"fucknugget,",negative
"fucknut,",negative
"fuckoff,",negative
"fucks,",negative
"fucktard,",negative
"fuck-tard,",negative
"fuckup,",negative
"fuckwad,",negative
"fuckwit,",negative
"fudgepacker,",negative
"fuk,",negative
"fvck,",negative
"fxck,",negative
"gae,",negative
"gai,",negative
"ganja,",negative
"gay,",negative
"gays,",negative
"gey,",negative
"gfy,",negative
"ghay,",negative
"ghey,",negative
"gigolo,",negative
"glans,",negative
"goatse,",negative
"godamn,",negative
"godamnit,",negative
"goddam,",negative
"goddammit,",negative
"goddamn,",negative
"goldenshower,",negative
"gonad,",negative
"gonads,",negative
"gook,",negative
"gooks,",negative
"gringo,",negative
"gspot,",negative
"g-spot,",negative
"gtfo,",negative
"guido,",negative
"h0m0,",negative
"h0mo,",negative
"handjob,",negative
"hard on,",negative
"he11,",negative
"hebe,",negative
"heeb,",negative
"hell,",negative
"hemp,",negative
"heroin,",negative
"herp,",negative
"herpes,",negative
"herpy,",negative
"hitler,",negative
"hiv,",negative
"hobag,",negative
"hom0,",negative
"homey,",negative
"homo,",negative
"homoey,",negative
"honky,",negative
"hooch,",negative
"hookah,",negative
"hooker,",negative
"hoor,",negative
"hootch,",negative
"hooter,",negative
"hooters,",negative
"horny,",negative
"hump,",negative
"humped,",negative
"humping,",negative
"hussy,",negative
"hymen,",negative
"inbred,",negative
"incest,",negative
"injun,",negative
"j3rk0ff,",negative
"jackass,",negative
"jackhole,",negative
"jackoff,",negative
"jap,",negative
"japs,",negative
"jerk,",negative
"jerk0ff,",negative
"jerked,",negative
"jerkoff,",negative
"jism,",negative
"jiz,",negative
"jizm,",negative
"jizz,",negative
"jizzed,",negative
"junkie,",negative
"junky,",negative
"kike,",negative
"kikes,",negative
"kill,",negative
"kinky,",negative
"kkk,",negative
"klan,",negative
"knobend,",negative
"kooch,",negative
"kooches,",negative
"kootch,",negative
"kraut,",negative
"kyke,",negative
"labia,",negative
"lech,",negative
"leper,",negative
"lesbians,",negative
"lesbo,",negative
"lesbos,",negative
"lez,",negative
"lezbian,",negative
"lezbians,",negative
"lezbo,",negative
"lezbos,",negative
"lezzie,",negative
"lezzies,",negative
"lezzy,",negative
"lmao,",negative
"lmfao,",negative
"loin,",negative
"loins,",negative
"lube,",negative
"lusty,",negative
"mams,",negative
"massa,",negative
"masterbate,",negative
"masterbating,",negative
"masterbation,",negative
"masturbate,",negative
"masturbating,",negative
"masturbation,",negative
"maxi,",negative
"menses,",negative
"menstruate,",negative
"menstruation,",negative
"meth,",negative
"m-fucking,",negative
"mofo,",negative
"molest,",negative
"moolie,",negative
"moron,",negative
"motherfucka,",negative
"motherfucker,",negative
"motherfucking,",negative
"mtherfucker,",negative
"mthrfucker,",negative
"mthrfucking,",negative
"muff,",negative
"muffdiver,",negative
"murder,",negative
"muthafuckaz,",negative
"muthafucker,",negative
"mutherfucker,",negative
"mutherfucking,",negative
"muthrfucking,",negative
"nad,",negative
"nads,",negative
"naked,",negative
"napalm,",negative
"nappy,",negative
"nazi,",negative
"nazism,",negative
"negro,",negative
"nigga,",negative
"niggah,",negative
"niggas,",negative
"niggaz,",negative
"nigger,",negative
"nigger,",negative
"niggers,",negative
"niggle,",negative
"niglet,",negative
"nimrod,",negative
"ninny,",negative
"nipple,",negative
"nooky,",negative
"nympho,",negative
"opiate,",negative
"opium,",negative
"oral,",negative
"orally,",negative
"organ,",negative
"orgasm,",negative
"orgasmic,",negative
"orgies,",negative
"orgy,",negative
"ovary,",negative
"ovum,",negative
"ovums,",negative
"p.u.s.s.y.,",negative
"paddy,",negative
"paki,",negative
"pantie,",negative
"panties,",negative
